Wydawnictwo;Prestiz
Wydawnictwo Avalon;1
Wydawnictwo Bellona;1
Wydawnictwo Benedyktynów Tyniec;1
Wydawnictwo Bernardinum;1
Wydawnictwo Biały Kruk;1
Wydawnictwo Biblioteki Narodowej;1
Wydawnictwo C.H. Beck;1
Wydawnictwo Centralnego Laboratorium Kryminalistycznego Policji;1
Wydawnictwo Chronicon Joanna Rosik;1
Wydawnictwo Continuo;1
Wydawnictwo Czarne;1
Wydawnictwo Diecezjalne Adalbertinum;1
Wydawnictwo Diecezjalne i Drukarnia w Sandomierzu;1
Wydawnictwo Diecezji Tarnowskiej Biblos;1
Wydawnictwo DiG;1
"Wydawnictwo Edukacyjne ""Akapit""";1
Wydawnictwo Ekonomia i Środowisko;1
Wydawnictwo Episteme;1
Wydawnictwo Fundacji Rozwoju Systemu Edukacji;1
Wydawnictwo Gnome;1
Wydawnictwo IHiSM;1
"Wydawnictwo Instytutu ""Pomnik-Centrum Zdrowia Dziecka""";1
Wydawnictwo Instytutu Ekspertyz Sądowych;1
Wydawnictwo Instytutu Energetyki;1
Wydawnictwo Instytutu Gruźlicy i Chorób Płuc;1
Wydawnictwo Instytutu Hodowli i Aklimatyzacji Roślin;1
Wydawnictwo Instytutu Ochrony Zdrowia;1
Wydawnictwo Inżynieria Rolnicza;1
Wydawnictwo Iskry;1
Wydawnictwo Kontekst;1
Wydawnictwo Krytyki Politycznej;1
Wydawnictwo KSAP;1
Wydawnictwo Lekarskie PZWL;1
Wydawnictwo Liberi Libri;1
Wydawnictwo Libron - Filip Lohner;1
Wydawnictwo Literackie;1
Wydawnictwo LTW;1
Wydawnictwo Małopolskiej Szkoły Administracji Publicznej Uniwersytetu Ekonomicznego w Krakowie;1
Wydawnictwo Marek Derewiecki;1
"Wydawnictwo Medyczne ""Alfa-Medica Press""";1
Wydawnictwo Miejskie Posnania;1
Wydawnictwo Morskiego Instytutu Rybackiego – Państwowego Instytutu Badawczego;1
